time,passbuf,neuron,mac,bias,sum,tanh_in,tanh_out
4365000,0,0,018c,fe6a,3fff6,fff6,fff6
8645000,0,1,fe32,0359,0018b,018b,0179
12925000,0,2,ff6a,0240,001aa,01aa,0193
17205000,0,3,ff07,fce2,3fbe9,fbe9,fceb
21485000,0,4,021b,03fa,00615,0615,03a3
25765000,0,5,021a,0309,00523,0523,036e
30045000,0,6,0133,fe45,3ff78,ff78,ff79
34325000,0,7,ff5d,02b2,0020f,020f,01e5
38605000,0,8,ffb5,fcda,3fc8f,fc8f,fd37
42885000,0,9,feea,03fe,002e8,02e8,027c
47165000,0,10,fefb,0153,0004e,004e,004e
51445000,0,11,ff7c,0133,000af,00af,00ad
55725000,0,12,00b3,fcb9,3fd6c,fd6c,fdba
60005000,0,13,00b2,032d,003df,03df,02fe
64285000,0,14,fed3,fc3b,3fb0e,fb0e,fc9f
68565000,0,15,00cb,fded,3feb8,feb8,fec3
72845000,0,16,0016,fd25,3fd3b,fd3b,fd9a
77125000,0,17,fe95,0237,000cc,00cc,00c9
81405000,0,18,00cc,fd96,3fe62,fe62,fe77
85685000,0,19,ff52,0349,0029b,029b,024a
89965000,0,20,00e9,0140,00229,0229,01f9
94245000,0,21,007b,fc4a,3fcc5,fcc5,fd54
98525000,0,22,fed0,fc0b,3fadb,fadb,fc91
102805000,0,23,000a,fc6a,3fc74,fc74,fd29
107085000,0,24,00ba,00d9,00193,0193,017f
111365000,0,25,0056,0269,002bf,02bf,0262
115645000,0,26,ffb8,fde9,3fda1,fda1,fddf
119925000,0,27,fd7e,02cc,0004a,004a,004a
124205000,0,28,ff12,fc75,3fb87,fb87,fcc6
128485000,0,29,ffea,0268,00252,0252,0217
132765000,0,30,ff03,036c,0026f,026f,022c
137045000,0,31,fe67,022d,00094,0094,0093
141325000,0,32,fe9d,0196,00033,0033,0033
145605000,0,33,0070,02b4,00324,0324,029f
149885000,0,34,013f,fc52,3fd91,fd91,fdd4
154165000,0,35,00bd,fd9d,3fe5a,fe5a,fe70
158445000,0,36,006b,fd00,3fd6b,fd6b,fdba
162725000,0,37,022c,0009,00235,0235,0202
167005000,0,38,fe83,01f6,00079,0079,0078
171285000,0,39,ff8e,010a,00098,0098,0097
175565000,0,40,fcff,02cf,3ffce,ffce,ffce
179845000,0,41,0149,fd3e,3fe87,fe87,fe97
184125000,0,42,fdd7,01e1,3ffb8,ffb8,ffb8
188405000,0,43,fd2f,fd8b,3faba,faba,fc89
192685000,0,44,ff1e,fe2b,3fd49,fd49,fda3
196965000,0,45,ff92,01ae,00140,0140,0136
201245000,0,46,ff9e,03d7,00375,0375,02cb
205525000,0,47,01cd,00e4,002b1,02b1,0259
209805000,0,48,fd4a,fc70,3f9ba,f9ba,fc55
214085000,0,49,fe71,00ee,3ff5f,ff5f,ff60
218365000,0,50,fee6,fc57,3fb3d,fb3d,fcad
222645000,0,51,ff45,0313,00258,0258,021c
226925000,0,52,ff76,01ad,00123,0123,011b
231205000,0,53,fede,fd63,3fc41,fc41,fd11
235485000,0,54,00e6,fcbc,3fda2,fda2,fde0
239765000,0,55,002e,fd78,3fda6,fda6,fde3
244045000,0,56,fd79,03d7,00150,0150,0144
248325000,0,57,00eb,ffab,00096,0096,0095
252605000,0,58,01b5,0246,003fb,03fb,030a
256885000,0,59,fdfa,0117,3ff11,ff11,ff15
261165000,0,60,ff73,0094,00007,0007,0007
265445000,0,61,ff31,fd29,3fc5a,fc5a,fd1d
269725000,0,62,0076,0391,00407,0407,030f
274005000,0,63,0076,fe69,3fedf,fedf,fee6
278285000,0,64,015f,00a0,001ff,01ff,01d8
282565000,0,65,fd95,0199,3ff2e,ff2e,ff31
286845000,0,66,016d,0132,0029f,029f,024d
291125000,0,67,ffa6,0386,0032c,032c,02a4
295405000,0,68,fede,fd30,3fc0e,fc0e,fcfa
299685000,0,69,006b,0011,0007c,007c,007b
303965000,0,70,ff51,ff3b,3fe8c,fe8c,fe9c
308245000,0,71,ffa0,ffcb,3ff6b,ff6b,ff6c
312525000,0,72,0179,fcf4,3fe6d,fe6d,fe81
316805000,0,73,031a,fd13,0002d,002d,002d
321085000,0,74,00ba,fe39,3fef3,fef3,fef9
325365000,0,75,01dd,fe70,0004d,004d,004d
329645000,0,76,00e2,ff6c,0004e,004e,004e
333925000,0,77,007b,00e3,0015e,015e,0151
338205000,0,78,ff71,0114,00085,0085,0084
342485000,0,79,ff2c,ff4b,3fe77,fe77,fe89
346765000,0,80,00cc,ff45,00011,0011,0011
351045000,0,81,00d8,fdbe,3fe96,fe96,fea4
355325000,0,82,011c,00b5,001d1,01d1,01b3
359605000,0,83,fed8,fe89,3fd61,fd61,fdb3
363885000,0,84,fe0a,fc4a,3fa54,fa54,fc71
368165000,0,85,fe42,ff59,3fd9b,fd9b,fddb
372445000,0,86,003f,ffcb,0000a,000a,000a
376725000,0,87,0166,fdce,3ff34,ff34,ff37
381005000,0,88,ffe4,0094,00078,0078,0077
385285000,0,89,ffc0,0087,00047,0047,0047
389565000,0,90,0147,019e,002e5,02e5,027a
393845000,0,91,0130,012f,0025f,025f,0221
398125000,0,92,fe99,0138,3ffd1,ffd1,ffd1
402405000,0,93,ff74,fe88,3fdfc,fdfc,fe24
406685000,0,94,0136,024d,00383,0383,02d2
410965000,0,95,ff2f,0065,3ff94,ff94,ff94
415245000,0,96,fee2,ff74,3fe56,fe56,fe6d
419525000,0,97,fdee,0102,3fef0,fef0,fef6
423805000,0,98,fed4,fee3,3fdb7,fdb7,fdef
428085000,0,99,014b,001a,00165,0165,0157
432435000,1,0,0538,fe6a,003a2,03a2,02e2
