Time,Voltage,Current,Temperature,SOC,SOH
0.0,12.100075,1.947899,28.001017,1.0,0.9
0.001,12.101485,1.986729,28.001043,0.9995,0.9
0.002,12.09347,2.001162,28.00061,0.998999,0.9
0.003,12.094158,1.980481,28.001351,0.998499,0.9
0.004,12.080912,2.087421,28.002673,0.997999,0.9
0.005,12.093868,2.039609,28.002469,0.997499,0.9
0.006,12.083428,1.9981,28.00264,0.996998,0.9
0.007,12.084577,2.049114,28.003946,0.996498,0.9
0.008,12.070248,1.989718,28.004298,0.995998,0.9
0.009,12.084573,2.028163,28.005045,0.995498,0.9
0.01,12.068618,1.972462,28.007806,0.994997,0.9
0.011,12.083792,2.124687,28.009492,0.994497,0.9
0.012,12.080466,2.080311,28.00901,0.993997,0.9
0.013,12.077342,2.082284,28.010952,0.993497,0.9
0.014,12.0948,1.976267,28.012122,0.992996,0.9
0.015,12.070101,2.121227,28.012325,0.992496,0.9
0.016,12.070589,2.046574,28.013144,0.991996,0.9
0.017,12.07045,2.11988,28.013851,0.991496,0.9
0.018,12.060365,2.081877,28.014466,0.990995,0.9
0.019,12.076952,2.075599,28.01571,0.990495,0.9
0.02,12.056423,2.157124,28.015926,0.989995,0.9
0.021,12.052079,2.191493,28.016891,0.989495,0.9
0.022,12.053504,2.237303,28.018364,0.988994,0.9
0.023,12.037896,2.31432,28.019987,0.988494,0.9
0.024,12.043365,2.203517,28.019505,0.987994,0.9
0.025,12.038276,2.295971,28.019564,0.987494,0.9
0.026,12.034841,2.304908,28.019629,0.986993,0.9
0.027,12.041757,2.296003,28.021081,0.986493,0.9
0.028,12.041363,2.364839,28.021403,0.985993,0.9
0.029,12.034441,2.278596,28.022518,0.985493,0.9
0.03,12.03534,2.404215,28.023162,0.984992,0.9
0.031,12.021579,2.425346,28.023293,0.984492,0.9
0.032,12.03635,2.467132,28.024092,0.983992,0.9
0.033,12.041993,2.479052,28.02336,0.983492,0.9
0.034,12.043664,2.449765,28.023347,0.982991,0.9
