pass,neuron,mac,bias,sum,tanh_in,tanh_out
0,0,018c,fe6a,3fff6,fff6,fff6
0,1,fe32,0359,0018b,018b,0179
0,2,ff6a,0240,001aa,01aa,0193
0,3,ff07,fce2,3fbe9,fbe9,fceb
0,4,021b,03fa,00615,0615,03a3
0,5,021a,0309,00523,0523,036e
0,6,0133,fe45,3ff78,ff78,ff79
0,7,ff5d,02b2,0020f,020f,01e5
0,8,ffb5,fcda,3fc8f,fc8f,fd37
0,9,feea,03fe,002e8,02e8,027c
0,10,fefb,0153,0004e,004e,004e
0,11,ff7c,0133,000af,00af,00ad
0,12,00b3,fcb9,3fd6c,fd6c,fdba
0,13,00b2,032d,003df,03df,02fe
0,14,fed3,fc3b,3fb0e,fb0e,fc9f
0,15,00cb,fded,3feb8,feb8,fec3
0,16,0016,fd25,3fd3b,fd3b,fd9a
0,17,fe95,0237,000cc,00cc,00c9
0,18,00cc,fd96,3fe62,fe62,fe77
0,19,ff52,0349,0029b,029b,024a
0,20,00e9,0140,00229,0229,01f9
0,21,007b,fc4a,3fcc5,fcc5,fd54
0,22,fed0,fc0b,3fadb,fadb,fc91
0,23,000a,fc6a,3fc74,fc74,fd29
0,24,00ba,00d9,00193,0193,017f
0,25,0056,0269,002bf,02bf,0262
0,26,ffb8,fde9,3fda1,fda1,fddf
0,27,fd7e,02cc,0004a,004a,004a
0,28,ff12,fc75,3fb87,fb87,fcc6
0,29,ffea,0268,00252,0252,0217
0,30,ff03,036c,0026f,026f,022c
0,31,fe67,022d,00094,0094,0093
0,32,fe9d,0196,00033,0033,0033
0,33,0070,02b4,00324,0324,029f
0,34,013f,fc52,3fd91,fd91,fdd4
0,35,00bd,fd9d,3fe5a,fe5a,fe70
0,36,006b,fd00,3fd6b,fd6b,fdba
0,37,022c,0009,00235,0235,0202
0,38,fe83,01f6,00079,0079,0078
0,39,ff8e,010a,00098,0098,0097
0,40,fcff,02cf,3ffce,ffce,ffce
0,41,0149,fd3e,3fe87,fe87,fe97
0,42,fdd7,01e1,3ffb8,ffb8,ffb8
0,43,fd2f,fd8b,3faba,faba,fc89
0,44,ff1e,fe2b,3fd49,fd49,fda3
0,45,ff92,01ae,00140,0140,0136
0,46,ff9e,03d7,00375,0375,02cb
0,47,01cd,00e4,002b1,02b1,0259
0,48,fd4a,fc70,3f9ba,f9ba,fc55
0,49,fe71,00ee,3ff5f,ff5f,ff60
0,50,fee6,fc57,3fb3d,fb3d,fcad
0,51,ff45,0313,00258,0258,021c
0,52,ff76,01ad,00123,0123,011b
0,53,fede,fd63,3fc41,fc41,fd11
0,54,00e6,fcbc,3fda2,fda2,fde0
0,55,002e,fd78,3fda6,fda6,fde3
0,56,fd79,03d7,00150,0150,0144
0,57,00eb,ffab,00096,0096,0095
0,58,01b5,0246,003fb,03fb,030a
0,59,fdfa,0117,3ff11,ff11,ff15
0,60,ff73,0094,00007,0007,0007
0,61,ff31,fd29,3fc5a,fc5a,fd1d
0,62,0076,0391,00407,0407,030f
0,63,0076,fe69,3fedf,fedf,fee6
0,64,015f,00a0,001ff,01ff,01d8
0,65,fd95,0199,3ff2e,ff2e,ff31
0,66,016d,0132,0029f,029f,024d
0,67,ffa6,0386,0032c,032c,02a4
0,68,fede,fd30,3fc0e,fc0e,fcfa
0,69,006b,0011,0007c,007c,007b
0,70,ff51,ff3b,3fe8c,fe8c,fe9c
0,71,ffa0,ffcb,3ff6b,ff6b,ff6c
0,72,0179,fcf4,3fe6d,fe6d,fe81
0,73,031a,fd13,0002d,002d,002d
0,74,00ba,fe39,3fef3,fef3,fef9
0,75,01dd,fe70,0004d,004d,004d
0,76,00e2,ff6c,0004e,004e,004e
0,77,007b,00e3,0015e,015e,0151
0,78,ff71,0114,00085,0085,0084
0,79,ff2c,ff4b,3fe77,fe77,fe89
0,80,00cc,ff45,00011,0011,0011
0,81,00d8,fdbe,3fe96,fe96,fea4
0,82,011c,00b5,001d1,01d1,01b3
0,83,fed8,fe89,3fd61,fd61,fdb3
0,84,fe0a,fc4a,3fa54,fa54,fc71
0,85,fe42,ff59,3fd9b,fd9b,fddb
0,86,003f,ffcb,0000a,000a,000a
0,87,0166,fdce,3ff34,ff34,ff37
0,88,ffe4,0094,00078,0078,0077
0,89,ffc0,0087,00047,0047,0047
0,90,0147,019e,002e5,02e5,027a
0,91,0130,012f,0025f,025f,0221
0,92,fe99,0138,3ffd1,ffd1,ffd1
0,93,ff74,fe88,3fdfc,fdfc,fe24
0,94,0136,024d,00383,0383,02d2
0,95,ff2f,0065,3ff94,ff94,ff94
0,96,fee2,ff74,3fe56,fe56,fe6d
0,97,fdee,0102,3fef0,fef0,fef6
0,98,fed4,fee3,3fdb7,fdb7,fdef
0,99,014b,001a,00165,0165,0157
1,0,0538,fe6a,003a2,03a2,02e2
1,1,03cb,0359,00724,0724,03c8
1,2,ff75,0240,001b5,01b5,019c
1,3,0226,fce2,3ff08,ff08,ff0d
1,4,02e8,03fa,006e2,06e2,03c0
1,5,0173,0309,0047c,047c,033b
1,6,07e8,fe45,0062d,062d,03a7
1,7,f900,02b2,3fbb2,fbb2,fcd5
1,8,fee2,fcda,3fbbc,fbbc,fcd9
1,9,012f,03fe,0052d,052d,0371
1,10,015c,0153,002af,02af,0258
1,11,fe56,0133,3ff89,ff89,ff8a
1,12,fc9a,fcb9,3f953,f953,fc46
1,13,022a,032d,00557,0557,037b
1,14,fe3c,fc3b,3fa77,fa77,fc79
1,15,fd5d,fded,3fb4a,fb4a,fcb1
1,16,012b,fd25,3fe50,fe50,fe68
1,17,ff2c,0237,00163,0163,0155
1,18,04ec,fd96,00282,0282,0239
1,19,0127,0349,00470,0470,0337
1,20,fecf,0140,0000f,000f,000f
1,21,004e,fc4a,3fc98,fc98,fd3c
1,22,fd87,fc0b,3f992,f992,fc4f
1,23,003b,fc6a,3fca5,fca5,fd42
1,24,02be,00d9,00397,0397,02dc
1,25,fcdc,0269,3ff45,ff45,ff47
1,26,ff48,fde9,3fd31,fd31,fd94
1,27,fc7c,02cc,3ff48,ff48,ff4a
1,28,ff75,fc75,3fbea,fbea,fceb
1,29,0053,0268,002bb,02bb,025f
1,30,feeb,036c,00257,0257,021b
1,31,025d,022d,0048a,048a,0340
1,32,fe90,0196,00026,0026,0026
1,33,005c,02b4,00310,0310,0294
1,34,00a7,fc52,3fcf9,fcf9,fd71
1,35,ff24,fd9d,3fcc1,fcc1,fd51
1,36,ffc6,fd00,3fcc6,fcc6,fd54
1,37,050b,0009,00514,0514,036a
1,38,014d,01f6,00343,0343,02b1
1,39,fd88,010a,3fe92,fe92,fea1
1,40,f7fc,02cf,3facb,facb,fc8d
1,41,0151,fd3e,3fe8f,fe8f,fe9e
1,42,fc63,01e1,3fe44,fe44,fe5e
