Pass,Neuron,Win_u_real,Win_u_raw,Win_u_hex,Wx_real,Wx_raw,Wx_hex,MAC_real,MAC_raw,MAC_hex,Bias_real,Bias_raw,Bias_hex,NeuronSum_real,NeuronSum_raw,NeuronSum_hex,Clipped,TanhInput,TanhOutput,x_next_real,x_next_raw,x_next_hex
1,0,0.386715,405500,00062FFC,0.000000,0,00000000,0.386719,396,018C,-0.396484,-406,FE6A,-0.009766,-10,FFF6,False,-0.009766,-0.009765,-0.009766,-10,FFF6
1,1,-0.451374,-473300,FFF8C72C,0.000000,0,00000000,-0.451172,-462,FE32,0.836914,857,0359,0.385742,395,018B,False,0.385742,0.367684,0.368164,377,0179
1,2,-0.146294,-153400,FFFDA8C8,0.000000,0,00000000,-0.146484,-150,FF6A,0.562500,576,0240,0.416016,426,01AA,False,0.416016,0.393569,0.393555,403,0193
1,3,-0.243187,-255000,FFFC1BE8,0.000000,0,00000000,-0.243164,-249,FF07,-0.779297,-798,FCE2,-1.022461,-1047,FBE9,False,-1.022461,-0.770867,-0.770508,-789,FCEB
1,4,0.526428,552000,00086C40,0.000000,0,00000000,0.526367,539,021B,0.994141,1018,03FA,1.520508,1557,0615,False,1.520508,0.908786,0.909180,931,03A3
1,5,0.525665,551200,00086920,0.000000,0,00000000,0.525391,538,021A,0.758789,777,0309,1.284180,1315,0523,False,1.284180,0.857595,0.857422,878,036E
1,6,0.299454,314000,0004CA90,0.000000,0,00000000,0.299805,307,0133,-0.432617,-443,FE45,-0.132812,-136,FF78,False,-0.132812,-0.132037,-0.131836,-135,FF79
1,7,-0.158787,-166500,FFFD759C,0.000000,0,00000000,-0.159180,-163,FF5D,0.673828,690,02B2,0.514648,527,020F,False,0.514648,0.473559,0.473633,485,01E5
1,8,-0.073528,-77100,FFFED2D4,0.000000,0,00000000,-0.073242,-75,FFB5,-0.787109,-806,FCDA,-0.860352,-881,FC8F,False,-0.860352,-0.696439,-0.696289,-713,FD37
1,9,-0.271225,-284400,FFFBA910,0.000000,0,00000000,-0.271484,-278,FEEA,0.998047,1022,03FE,0.726562,744,02E8,False,0.726562,0.620958,0.621094,636,027C
1,10,-0.255108,-267500,FFFBEB14,0.000000,0,00000000,-0.254883,-261,FEFB,0.331055,339,0153,0.076172,78,004E,False,0.076172,0.076025,0.076172,78,004E
1,11,-0.128746,-135000,FFFDF0A8,0.000000,0,00000000,-0.128906,-132,FF7C,0.299805,307,0133,0.170898,175,00AF,False,0.170898,0.169254,0.168945,173,00AD
1,12,0.174999,183500,0002CCCC,0.000000,0,00000000,0.174805,179,00B3,-0.819336,-839,FCB9,-0.644531,-660,FD6C,False,-0.644531,-0.567977,-0.568359,-582,FDBA
1,13,0.174236,182700,0002C9AC,0.000000,0,00000000,0.173828,178,00B2,0.793945,813,032D,0.967773,991,03DF,False,0.967773,0.747724,0.748047,766,02FE
1,14,-0.293827,-308100,FFFB4C7C,0.000000,0,00000000,-0.293945,-301,FED3,-0.942383,-965,FC3B,-1.236328,-1266,FB0E,False,-1.236328,-0.844405,-0.844727,-865,FC9F
1,15,0.198555,208200,00032D48,0.000000,0,00000000,0.198242,203,00CB,-0.518555,-531,FDED,-0.320312,-328,FEB8,False,-0.320312,-0.309789,-0.309570,-317,FEC3
1,16,0.021744,22800,00005910,0.000000,0,00000000,0.021484,22,0016,-0.713867,-731,FD25,-0.692383,-709,FD3B,False,-0.692383,-0.599511,-0.599609,-614,FD9A
1,17,-0.354767,-372000,FFFA52E0,0.000000,0,00000000,-0.354492,-363,FE95,0.553711,567,0237,0.199219,204,00CC,False,0.199219,0.196624,0.196289,201,00C9
1,18,0.199699,209400,000331F8,0.000000,0,00000000,0.199219,204,00CC,-0.603516,-618,FD96,-0.404297,-414,FE62,False,-0.404297,-0.383620,-0.383789,-393,FE77
1,19,-0.169945,-178200,FFFD47E8,0.000000,0,00000000,-0.169922,-174,FF52,0.821289,841,0349,0.651367,667,029B,False,0.651367,0.572590,0.572266,586,024A
1,20,0.227261,238300,0003A2DC,0.000000,0,00000000,0.227539,233,00E9,0.312500,320,0140,0.540039,553,0229,False,0.540039,0.493018,0.493164,505,01F9
1,21,0.120258,126100,0001EC94,0.000000,0,00000000,0.120117,123,007B,-0.927734,-950,FC4A,-0.807617,-827,FCC5,False,-0.807617,-0.668274,-0.667969,-684,FD54
1,22,-0.296783,-311200,FFFB4060,0.000000,0,00000000,-0.296875,-304,FED0,-0.989258,-1013,FC0B,-1.286133,-1317,FADB,False,-1.286133,-0.858110,-0.858398,-879,FC91
1,23,0.009441,9900,000026AC,0.000000,0,00000000,0.009766,10,000A,-0.896484,-918,FC6A,-0.886719,-908,FC74,False,-0.886719,-0.709769,-0.709961,-727,FD29
1,24,0.182056,190900,0002E9B4,0.000000,0,00000000,0.181641,186,00BA,0.211914,217,00D9,0.393555,403,0193,False,0.393555,0.374421,0.374023,383,017F
1,25,0.083733,87800,000156F8,0.000000,0,00000000,0.083984,86,0056,0.602539,617,0269,0.686523,703,02BF,False,0.686523,0.595744,0.595703,610,0262
1,26,-0.070286,-73700,FFFEE01C,0.000000,0,00000000,-0.070312,-72,FFB8,-0.522461,-535,FDE9,-0.592773,-607,FDA1,False,-0.592773,-0.531887,-0.532227,-545,FDDF
1,27,-0.626850,-657300,FFF5F86C,0.000000,0,00000000,-0.626953,-642,FD7E,0.699219,716,02CC,0.072266,74,004A,False,0.072266,0.072140,0.072266,74,004A
1,28,-0.232029,-243300,FFFC499C,0.000000,0,00000000,-0.232422,-238,FF12,-0.885742,-907,FC75,-1.118164,-1145,FB87,False,-1.118164,-0.806929,-0.806641,-826,FCC6
1,29,-0.021553,-22600,FFFFA7B8,0.000000,0,00000000,-0.021484,-22,FFEA,0.601562,616,0268,0.580078,594,0252,False,0.580078,0.522722,0.522461,535,0217
1,30,-0.246620,-258600,FFFC0DD8,0.000000,0,00000000,-0.247070,-253,FF03,0.855469,876,036C,0.608398,623,026F,False,0.608398,0.542999,0.542969,556,022C
1,31,-0.399876,-419300,FFF99A1C,0.000000,0,00000000,-0.399414,-409,FE67,0.543945,557,022D,0.144531,148,0094,False,0.144531,0.143533,0.143555,147,0093
1,32,-0.346279,-363100,FFFA75A4,0.000000,0,00000000,-0.346680,-355,FE9D,0.396484,406,0196,0.049805,51,0033,False,0.049805,0.049764,0.049805,51,0033
1,33,0.109577,114900,0001C0D4,0.000000,0,00000000,0.109375,112,0070,0.675781,692,02B4,0.785156,804,0324,False,0.785156,0.655656,0.655273,671,029F
1,34,0.311279,326400,0004FB00,0.000000,0,00000000,0.311523,319,013F,-0.919922,-942,FC52,-0.608398,-623,FD91,False,-0.608398,-0.542999,-0.542969,-556,FDD4
1,35,0.184631,193600,0002F440,0.000000,0,00000000,0.184570,189,00BD,-0.596680,-611,FD9D,-0.412109,-422,FE5A,False,-0.412109,-0.390262,-0.390625,-400,FE70
1,36,0.104713,109800,0001ACE8,0.000000,0,00000000,0.104492,107,006B,-0.750000,-768,FD00,-0.645508,-661,FD6B,False,-0.645508,-0.568638,-0.568359,-582,FDBA
1,37,0.542831,569200,0008AF70,0.000000,0,00000000,0.542969,556,022C,0.008789,9,0009,0.551758,565,0235,False,0.551758,0.501836,0.501953,514,0202
